uuid,category,sub_category,name,title,subtitle,summary,website,merchant_editorial,rules,address,city,state,phone,latitude,longitude,detail_url;;
"• Valid on all optional days"",""734 Rode Road, Stafford QLD 4053, Australia"",Stafford,QLD,,-27.392281994894002,153.01201662741678,https://www.entertainment.com.au/offer-details/7462e74f-b0f6-4115-ae84-ea13e135ac09";;
"6567c646-71c8-4c24-9f71-542e62fd288f,Informal Dining and Takeaway,Takeaway,Milksha - Queensland,One wintermelon lemon juice,""Buy one, get one free"",Buy one Wintermelon Lemon Juice and receive another Wintermelon Lemon Juice for free,https://milksha.com.au/,""We are a bubble tea revolution. Using premium-quality milk and fresh ingredients, we strive to bring you the best bubble tea in Australia."",• Not redeemable during Public Holidays,""Shop 3, 14 Zamia Street, Sunnybank QLD 4109, Australia"",Sunnybank,QLD,,-27.5704469769992,153.06213249123,https://www.entertainment.com.au/offer-details/6567c646-71c8-4c24-9f71-542e62fd288f";;
"85c09cf3-d5b2-45ce-9018-baa915d6543d,Informal Dining and Takeaway,Asian,Noodle Box - Boondall,One serving of 4 spring rolls,""Buy one, get one free"",One complimentary SERVING OF 4 SPRING ROLLS when another SERVING OF 4 SPRING ROLLS of equal or greater value is purchased,https://www.conceptate.com.au/weborder/,,,""Shop 6, 2121 Sandgate Road, Boondall QLD 4034, Australia"",Boondall,QLD,+61738655975,-27.36385551666718,153.06228132881913,https://www.entertainment.com.au/offer-details/85c09cf3-d5b2-45ce-9018-baa915d6543d";;
"ebb1b786-0b0a-42a9-9f5a-cb9971f36af0,Informal Dining and Takeaway,Pubdining,Nosferatu Bar & Cafe,One nosferatu distillery gin and mixer,""Buy one, get one free"",One complimentary NOSFERATU DISTILLERY GIN AND MIXER when another NOSFERATU DISTILLERY GIN AND MIXER of equal or greater value is purchased,https://www.nosferatu.com.au/,""Set inside a romantic industrial-inspired shed surrounded by beautiful hanging garden beds and our picturesque gin distillery, our bar + cafe is a perfect spot for a delicious coffee during the day and a moody cocktail bar in the evening. Come drop by for a friendly vibe that welcomes anyone and everyone.????"",""• A Nosferatu Drink is GIN + mixer. Cocktails are not included in this offer.";;
"• Only valid after 10am as alcohol cannot be served before"",""26 Jaeys Street, Bowen Hills QLD 4006, Australia"",Bowen Hills,QLD,,-27.44951600513114,153.03625225642162,https://www.entertainment.com.au/offer-details/ebb1b786-0b0a-42a9-9f5a-cb9971f36af0";;
"3b9ea9f7-47d4-439b-93a0-da2ac504f150,Informal Dining and Takeaway,Pubdining,Nosferatu Bar & Cafe,One coffee,""Buy one, get one free"",One complimentary COFFEE when another COFFEE of equal or greater value is purchased,https://www.nosferatu.com.au/,,,""26 Jaeys Street, Bowen Hills QLD 4006, Australia"",Bowen Hills,QLD,,-27.44951600513114,153.03625225642162,https://www.entertainment.com.au/offer-details/3b9ea9f7-47d4-439b-93a0-da2ac504f150";;
"e0bbb95a-3737-4354-bc00-bf1649718223,Informal Dining and Takeaway,Casual,Syd's Pies & British Foods,One pie,""Buy one, get one free"",One complimentary PIE when another PIE of equal or greater value is purchased,https://www.sydspies.com.au/,,,""The Shops-Loganholme, 4059 Pacific Highway, Loganholme QLD 4129, Australia"",Loganholme,QLD,+61481234222,-27.68082421827739,153.1868800243551,https://www.entertainment.com.au/offer-details/e0bbb95a-3737-4354-bc00-bf1649718223";;
"eb91f0f6-cfae-45a9-92db-fbf1ee21e118,Informal Dining and Takeaway,Takeaway,Fresh Bite Health Bar,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.freshbitebar.com.au/,,,""1/599  Brunswick Street, New Farm QLD 4005, Australia"",New Farm,QLD,+61416107870,-27.46296111853,153.04065826237314,https://www.entertainment.com.au/offer-details/eb91f0f6-cfae-45a9-92db-fbf1ee21e118";;
"91363b7e-b450-441b-817d-246fa7eef8d7,Informal Dining and Takeaway,Asian,Noodle Box - Boondall,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://www.conceptate.com.au/weborder/,,,""Shop 6, 2121 Sandgate Road, Boondall QLD 4034, Australia"",Boondall,QLD,+61738655975,-27.36385551666718,153.06228132881913,https://www.entertainment.com.au/offer-details/91363b7e-b450-441b-817d-246fa7eef8d7";;
"139140c6-9acd-45a8-a756-c89f18a698e6,Informal Dining and Takeaway,European,Sweet Republick,Up to $25,Enjoy 25% off,25% off the TOTAL BILL,https://sweetrepublick.com.au/,""Sweet Republick is here to satisfy all of those cheeky dessert cravings! We’ve put our own creative spin on ice-creams, sundaes, milkshakes, desserts and so much more! Sweet, desirable & delicious… That’s our promise!"",• Not to be used in conjunction with any other offers/specials,""48 Victoria Street, Warwick QLD 4370, Australia"",Warwick,QLD,+61473088263,-28.21055506488915,152.03648293202062,https://www.entertainment.com.au/offer-details/139140c6-9acd-45a8-a756-c89f18a698e6";;
"c349d852-2e9a-4384-a320-118d145de09c,Informal Dining and Takeaway,Cafe,Charlie's Raw Squeeze,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://www.rawsqueeze.com.au/,""Charlie's Raw Squeeze specialises in delivering seasonal, fresh, healthy, plant-based options for breakfast, lunch and dinner. Their passion is to educate customers about healthy living by delivering nutritious, wholesome, plant-based food. Offering juice, bowls, smoothies, salads, coffee, treats, ice cream, and gelato."",""• Valid for Dine-In";;
"• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times."",""51 Old Cleveland Road, Greenslopes QLD 4120, Australia"",Greenslopes,QLD,+61731088831,-27.498831,153.045745,https://www.entertainment.com.au/offer-details/c349d852-2e9a-4384-a320-118d145de09c";;
"39b82af6-dc81-49a0-ab7c-e69e953872b5,Informal Dining and Takeaway,Cafe,Kova Coffee,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://www.facebook.com/kovacoffeebne/,,,""734 Rode Road, Stafford QLD 4053, Australia"",Stafford,QLD,,-27.392281994894002,153.01201662741678,https://www.entertainment.com.au/offer-details/39b82af6-dc81-49a0-ab7c-e69e953872b5";;
"2271893d-04f5-4695-b35d-a49815eb77e1,Informal Dining and Takeaway,Cafe,Second Home Coffee,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://secondhome.coffee/,,,""Unit 7 / 63  Bay Terrace, Wynnum QLD 4178, Australia"",Wynnum,QLD,,-27.44250036912264,153.1724709315218,https://www.entertainment.com.au/offer-details/2271893d-04f5-4695-b35d-a49815eb77e1";;
"7bb24479-d095-48b2-b9aa-43e64ee6fde1,Informal Dining and Takeaway,Casual,Syd's Pies & British Foods,Up to $20,Enjoy 25% off,25% off the TOTAL BILL,https://www.sydspies.com.au/,,,""The Shops-Loganholme, 4059 Pacific Highway, Loganholme QLD 4129, Australia"",Loganholme,QLD,+61481234222,-27.68082421827739,153.1868800243551,https://www.entertainment.com.au/offer-details/7bb24479-d095-48b2-b9aa-43e64ee6fde1";;
"261d7c56-abfe-47fb-99d7-53ca2d581c85,Informal Dining and Takeaway,Middleeastern,Yumm! Kebab,Up to $20,Enjoy 20% off,20% off the TOTAL BILL,https://yummkebabs.com.au/,""Fresh, Authentic, and Delicious!";;
;;
"At YUMM KEBAB, we provide high-quality meals and invite you to sample our delectable cuisine."",• Valid on food and drink,""328 Gympie Road, Strathpine QLD 4500, Australia"",Strathpine,QLD,+61738897882,-27.305867582618408,152.9885804491466,https://www.entertainment.com.au/offer-details/261d7c56-abfe-47fb-99d7-53ca2d581c85";;
"4ccd56f3-a1e6-43f4-9b53-5b872f5a2dd1,Informal Dining and Takeaway,Cafe,Charlie's Raw Squeeze,Up to $20,""Buy one, get one free"",One complimentary JUICE when another JUICE of equal or greater value is purchased,https://www.rawsqueeze.com.au/,""Charlie's Raw Squeeze specialises in delivering seasonal, fresh, healthy, plant-based options for breakfast, lunch and dinner. Their passion is to educate customers about healthy living by delivering nutritious, wholesome, plant-based food. Offering juice, bowls, smoothies, salads, coffee, treats, ice cream, and gelato."",""• Valid for Dine-In";;
"• Entertainment’s dining offers are valid at all times throughout the year, except for a few days known as Optional Days. These days include: • All Official Australian Public Holidays • All Official New Zealand Public Holidays • Good Friday • Valentines Day • Mother’s Day • Father’s Day. All other Entertainment Offers are valid at all times."",""51 Old Cleveland Road, Greenslopes QLD 4120, Australia"",Greenslopes,QLD,+61731088831,-27.498831,153.045745,https://www.entertainment.com.au/offer-details/4ccd56f3-a1e6-43f4-9b53-5b872f5a2dd1";;
